Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,FRA_FR10,FRA,Alkaline,75332.7117878029,5,7.237106782046595,1.4492753623188421,1.0,1.7050298380221651,Hybrid,2020
1.0,FRA_FR10,FRA,PEM,96153.47715451328,6,10.815224655621467,2.623732856290988,1.0,1.8485390578413843,Hybrid,2020
1.0,FRA_FR10,FRA,Alkaline,67580.82808280828,3,8.355356771569232,2.4999999999999996,1.0,,Onshore,2020
1.0,FRA_FR10,FRA,PEM,85289.08446400195,4,12.324216224693592,3.7037037037037024,1.0,,Onshore,2020
1.0,FRA_FR10,FRA,Alkaline,43349.62496249625,1,8.07397069886754,,1.0,2.222222222222222,PV,2020
1.0,FRA_FR10,FRA,PEM,49534.836296129615,2,14.490141132893148,,1.0,3.1249999999999982,PV,2020
1.0,FRA_FR10,FRA,Alkaline,76748.77169245589,11,6.0614663345762505,1.273885350318472,1.0,1.7515923566879006,Hybrid,2030
1.0,FRA_FR10,FRA,PEM,93397.19284428454,12,9.09662339433406,2.2529069767441925,1.0,1.8895348837209254,Hybrid,2030
1.0,FRA_FR10,FRA,Alkaline,69692.04063263469,9,7.162290111716999,2.380952380952382,1.0,,Onshore,2030
1.0,FRA_FR10,FRA,PEM,84281.01430832739,10,10.51713493314044,3.4482758620689653,1.0,,Onshore,2030
1.0,FRA_FR10,FRA,Alkaline,45776.327632763285,7,6.475672638971973,,1.0,2.173913043478261,PV,2030
1.0,FRA_FR10,FRA,PEM,49847.17001111875,8,11.553742316913247,,1.0,2.9411764705882333,PV,2030
1.0,FRA_FR10,FRA,Alkaline,72399.74287466578,17,5.5585974718252675,1.0088272383354342,1.0,1.975620008406898,Hybrid,2040
1.0,FRA_FR10,FRA,PEM,90364.56421761583,18,8.30111895261233,1.990049751243787,1.0,2.089552238805965,Hybrid,2040
1.0,FRA_FR10,FRA,Alkaline,69692.0406326347,15,6.94282980966406,2.380952380952381,1.0,,Onshore,2040
1.0,FRA_FR10,FRA,PEM,82506.33063306332,16,9.934676735841496,3.333333333333333,1.0,,Onshore,2040
1.0,FRA_FR10,FRA,Alkaline,46977.23181409052,13,5.684911473255038,,1.0,2.272727272727273,PV,2040
1.0,FRA_FR10,FRA,PEM,51119.951057605766,14,10.024272644039394,,1.0,3.1250000000000004,PV,2040
1.0,FRA_FR21,FRA,Alkaline,84231.58102327085,23,6.620094914288834,1.6168813373526998,1.0,1.5346670320635776,Hybrid,2020
1.0,FRA_FR21,FRA,PEM,100744.27558649908,24,9.918849741983813,2.4503311258278226,1.0,1.7218543046357604,Hybrid,2020
1.0,FRA_FR21,FRA,Alkaline,72515.65952049752,21,7.262053046468639,2.272727272727273,1.0,,Onshore,2020
1.0,FRA_FR21,FRA,PEM,89711.47114711472,22,11.02550490944708,3.3333333333333344,1.0,,Onshore,2020
1.0,FRA_FR21,FRA,Alkaline,43582.75713935031,19,8.13710676699551,,1.0,2.272727272727273,PV,2020
1.0,FRA_FR21,FRA,PEM,50005.202133116545,20,14.538808415391959,,1.0,3.2258064516129035,PV,2020
1.0,FRA_FR21,FRA,Alkaline,86225.67449052606,29,5.565789177532981,1.4492753623188424,1.0,1.5886287625418076,Hybrid,2030
1.0,FRA_FR21,FRA,PEM,100025.57612904148,30,8.328094106987251,2.2222222222222223,1.0,1.7460317460317463,Hybrid,2030
1.0,FRA_FR21,FRA,Alkaline,73931.93787463856,27,6.205165689598764,2.127659574468087,1.0,,Onshore,2030
1.0,FRA_FR21,FRA,PEM,89187.02182718272,28,9.360546573085278,3.1249999999999996,1.0,,Onshore,2030
1.0,FRA_FR21,FRA,Alkaline,46009.660966096606,25,6.528318276081218,,1.0,2.2222222222222223,PV,2030
1.0,FRA_FR21,FRA,PEM,50290.40176744948,26,11.59620577446662,,1.0,3.030303030303031,PV,2030
1.0,FRA_FR21,FRA,Alkaline,84299.36859856985,35,5.1433076112820775,1.3011152416356848,1.0,1.7657992565055758,Hybrid,2040
1.0,FRA_FR21,FRA,PEM,98350.94765022204,36,7.614902321580926,2.0408163265306145,1.0,1.9520851818988478,Hybrid,2040
1.0,FRA_FR21,FRA,Alkaline,75112.5112511251,33,6.018865048947849,2.1739130434782608,1.0,,Onshore,2040
1.0,FRA_FR21,FRA,PEM,87569.26601751085,34,8.829317015062905,3.0303030303030303,1.0,,Onshore,2040
1.0,FRA_FR21,FRA,Alkaline,47234.902560023445,31,5.7270324794101395,,1.0,2.325581395348838,PV,2040
1.0,FRA_FR21,FRA,PEM,51605.36860137628,32,10.057651997428726,,1.0,3.2258064516129044,PV,2040
1.0,FRA_FR22,FRA,Alkaline,84019.83626934125,41,6.461977447931549,1.5873015873015908,1.0,1.4285714285714293,Hybrid,2020
1.0,FRA_FR22,FRA,PEM,103674.60357146827,42,9.685135250863155,2.5641025641025657,1.0,1.5669515669515635,Hybrid,2020
1.0,FRA_FR22,FRA,Alkaline,76141.50846902872,39,6.916239545808541,2.2727272727272734,1.0,,Onshore,2020
1.0,FRA_FR22,FRA,PEM,94422.56725672568,40,10.475406932909417,3.3333333333333344,1.0,,Onshore,2020
1.0,FRA_FR22,FRA,Alkaline,43650.928729236555,37,8.124398977866168,,1.0,2.2727272727272725,PV,2020
1.0,FRA_FR22,FRA,PEM,49471.54871737174,38,14.508677593454333,,1.0,3.125000000000001,PV,2020
1.0,FRA_FR22,FRA,Alkaline,86380.07184647034,47,5.429871378468848,1.4285714285714264,1.0,1.4955357142857153,Hybrid,2030
1.0,FRA_FR22,FRA,PEM,102855.01491325612,48,8.1404894080301,2.3255813953488405,1.0,1.5959872321021438,Hybrid,2030
1.0,FRA_FR22,FRA,Alkaline,78829.43294329433,45,5.913233104476688,2.1739130434782608,1.0,,Onshore,2030
1.0,FRA_FR22,FRA,PEM,93885.30884338434,46,8.892123275048931,3.1249999999999996,1.0,,Onshore,2030
1.0,FRA_FR22,FRA,Alkaline,46081.88818881889,43,6.518086228641039,,1.0,2.2222222222222223,PV,2030
1.0,FRA_FR22,FRA,PEM,50398.889888988895,44,11.571244398871803,,1.0,3.0303030303030303,PV,2030
1.0,FRA_FR22,FRA,Alkaline,85651.88641166278,53,5.027537432883252,1.3189448441247003,1.0,1.678657074340527,Hybrid,2040
1.0,FRA_FR22,FRA,PEM,100609.84266705211,54,7.464264366333296,2.127659574468091,1.0,1.7794970986460343,Hybrid,2040
1.0,FRA_FR22,FRA,Alkaline,80127.13271327133,51,5.734700155696952,2.222222222222222,1.0,,Onshore,2040
1.0,FRA_FR22,FRA,PEM,92177.37228268282,52,8.387928975257557,3.030303030303029,1.0,,Onshore,2040
1.0,FRA_FR22,FRA,Alkaline,47308.56341448098,49,5.718115506276326,,1.0,2.3255813953488373,PV,2040
1.0,FRA_FR22,FRA,PEM,51054.638276327634,50,10.037096166548878,,1.0,3.125,PV,2040
1.0,FRA_FR23,FRA,Alkaline,89487.7897625829,59,5.99272509687869,1.6393442622950833,1.0,1.261034047919296,Hybrid,2020
1.0,FRA_FR23,FRA,PEM,106826.53154797191,60,9.10133226518612,2.4390243902439037,1.0,1.4481707317073205,Hybrid,2020
1.0,FRA_FR23,FRA,Alkaline,78630.13801380138,57,6.294085609870684,2.083333333333333,1.0,,Onshore,2020
1.0,FRA_FR23,FRA,PEM,96417.02806644302,58,9.732529980143005,3.0303030303030294,1.0,,Onshore,2020
1.0,FRA_FR23,FRA,Alkaline,43437.52201307088,55,7.95559169500625,,1.0,2.1739130434782608,PV,2020
1.0,FRA_FR23,FRA,PEM,50250.92352985299,56,14.283657393540356,,1.0,3.1249999999999996,PV,2020
1.0,FRA_FR23,FRA,Alkaline,91387.8587858787,65,5.041173292196791,1.4492753623188441,1.0,1.3526570048309183,Hybrid,2030
1.0,FRA_FR23,FRA,PEM,106306.63066306636,66,7.633426719559844,2.2222222222222303,1.0,1.4814814814814827,Hybrid,2030
1.0,FRA_FR23,FRA,Alkaline,81686.64266426643,63,5.366867121794142,2.0,1.0,,Onshore,2030
1.0,FRA_FR23,FRA,PEM,96310.158158673,64,8.22469847945339,2.8571428571428568,1.0,,Onshore,2030
1.0,FRA_FR23,FRA,Alkaline,46468.046804680474,61,6.379278432000951,,1.0,2.173913043478261,PV,2030
1.0,FRA_FR23,FRA,PEM,51203.461255216425,62,11.389426414916262,,1.0,3.0303030303030294,PV,2030
1.0,FRA_FR23,FRA,Alkaline,89908.20728414308,71,4.683669900442407,1.3157894736842122,1.0,1.5404364569961495,Hybrid,2040
1.0,FRA_FR23,FRA,PEM,104035.99501476332,72,7.003689841416554,2.0408163265306145,1.0,1.6415261756876702,Hybrid,2040
1.0,FRA_FR23,FRA,Alkaline,81686.64266426643,69,5.207792200069961,1.9999999999999998,1.0,,Onshore,2040
1.0,FRA_FR23,FRA,PEM,94759.43844384438,70,7.75046320114193,2.7777777777777772,1.0,,Onshore,2040
1.0,FRA_FR23,FRA,Alkaline,47663.22314049587,67,5.603093293809627,,1.0,2.2727272727272725,PV,2040
1.0,FRA_FR23,FRA,PEM,51858.953082808286,68,9.881427204644208,,1.0,3.124999999999999,PV,2040
